"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",0,2,0,-2,1,0,0,3,0,-3,-1,0,0,0,0,0,0,0
"2",3,0,0,-3,0,0,1,-2,0,0,0,2,-1,0,1,0,0,0
"3",3,-1,0,0,0,-2,0,-3,0,0,0,0,0,0,0,0,1,2
"4",-2,-3,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0
"5",2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6",1,0,-3,3,0,0,0,-1,2,0,0,-2,0,0,0,0,0,0
"7",1,2,0,-3,0,-2,0,-1,0,0,0,0,0,0,0,3,0,0
"8",-2,-3,-1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"9",0,0,-3,0,1,0,0,3,0,0,0,2,0,0,0,0,-2,-1
"10",0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"11",-1,-3,-2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"12",3,1,-3,0,0,-2,0,0,0,0,0,0,0,2,0,0,-1,0
"13",0,-3,0,0,2,-2,1,0,0,0,0,-1,0,0,0,0,0,3
"14",3,1,0,-3,0,0,0,0,0,-2,0,1,0,0,2,0,-1,0
"15",2,3,-2,0,1,0,0,0,0,-1,0,0,-3,1,0,0,-1,0
"16",0,2,-1,-3,0,0,3,0,0,0,0,1,0,0,0,0,-2,0
"17",0,1,2,-2,0,-1,0,0,0,0,-3,0,0,0,0,0,0,3
"18",0,1,0,-3,0,-2,0,0,0,0,-1,0,2,0,0,0,3,0
